Company,Sector,Industry,CompanyType,HeadquartersState,2023_Rank,2023_Profitable,2023_Founder_is_CEO,2023_FemaleCEO,2023_Growth_in_Jobs,2023_Change_in_Rank,2023_Gained_in_Rank,2023_Dropped_in_Rank,2023_Newcomer_to_the_Fortune500,2023_Global500,2023_Best_Companies,2023_Number_of_employees,2023_MarketCap_March31_M,2023_Revenues_M,2023_RevenuePercentChange,2023_Profits_M,2023_ProfitsPercentChange,2023_Assets_M,2023_CEO,2023_MarketCap_Updated_M,2023_Year,2024_Rank,2024_Profitable,2024_Founder_is_CEO,2024_FemaleCEO,2024_Growth_in_Jobs,2024_Change_in_Rank,2024_Gained_in_Rank,2024_Dropped_in_Rank,2024_Newcomer_to_the_Fortune500,2024_Global500,2024_Worlds_Most_Admired_Companies,2024_Best_Companies_to_Work_For,2024_Number_of_employees,2024_MarketCap_March28_M,2024_Revenues_M,2024_RevenuePercentChange,2024_Profits_M,2024_ProfitsPercentChange,2024_Assets_M,2024_CEO,2024_MarketCap_Updated_M,2024_Year
Danaher,Health Care,Medical Products and Equipment,Public,District Of Columbia,132,yes,no,no,yes,-14,no,yes,no,yes,no,80000,183764,31471,7,7209,12,84350,Rainer M. Blair,175443,2023,153,yes,no,no,no,-21,no,yes,no,yes,yes,no,62000,184929,27602,-12,4764,-34,84488,Rainer M. Blair,184929,2024
Darden Restaurants,"Hotels, Restaurants & Leisure",Food Services,Public,Florida,402,yes,no,no,yes,63,yes,no,no,no,no,178956,18884,9630,34,953,51,10136,Ricardo Cardenas,18884,2023,383,yes,no,no,yes,19,yes,no,no,no,no,no,187384,19960,10488,9,982,3,10242,Ricardo Cardenas,19960,2024
Darling Ingredients,"Food, Beverages & Tobacco",Food Production,Public,Texas,535,yes,no,no,yes,96,yes,no,,no,no,14600,9339,6532,38,738,13,9202,Randall C. Stuewe,9339,2023,523,yes,no,no,yes,12,yes,no,,no,no,no,15800,7431,6788,4,648,-12,11061,Randall C. Stuewe,7431,2024
DaVita,Health Care,Health Care: Medical Facilities,Public,Colorado,357,yes,no,no,yes,-34,no,yes,no,no,no,70000,7332,11610,0,560,-43,16928,Javier J. Rodriguez,7332,2023,341,yes,no,no,no,16,yes,no,no,no,yes,no,70000,12107,12140,5,692,23,16894,Javier J. Rodriguez,12107,2024
DCP Midstream,Energy,Pipelines,Public,Colorado,276,yes,no,no,yes,68,yes,no,no,no,no,1910,8701,14993,40,1052,169,13334,Donald A. Baldridge,8701,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
Deckers Outdoor,Apparel,Apparel,Public,California,873,yes,no,no,yes,45,yes,no,,no,no,4000,11850,3150,24,452,18,2332,David Powers,11850,2023,801,yes,no,no,yes,72,yes,no,,no,no,no,4200,24160,3627,15,517,14,2556,Stefano Caroti,24161,2024
Deere,Industrials,Construction and Farm Machinery,Public,Illinois,81,yes,no,no,yes,3,yes,no,no,yes,no,82239,122346,52577,19,7131,20,90030,John C. May,123317,2023,64,yes,no,no,yes,17,yes,no,no,yes,yes,no,82956,114333,61251,16,10166,43,104087,John C. May,102421,2024
Delek US Holdings,Energy,Petroleum Refining,Public,Tennessee,198,yes,no,no,yes,148,yes,no,no,no,no,3746,1538,20246,90,257,0,8193,Avigal Soreq,1538,2023,244,yes,no,no,no,-46,no,yes,no,no,no,no,3591,1968,16917,-16,20,-92,7172,Avigal Soreq,1968,2024
Dell Technologies,Technology,"Computers, Office Equipment",Public,Texas,34,yes,yes,no,no,-3,no,yes,no,yes,no,133000,29402,102301,-4,2442,-56,89611,Michael S. Dell,39780,2023,48,yes,yes,no,no,-14,no,yes,no,yes,yes,no,120000,81451,88425,-14,3211,32,82089,Michael S. Dell,97331,2024
Delta Air Lines,Transportation,Airlines,Public,Georgia,85,yes,no,no,yes,28,yes,no,no,yes,no,95000,22392,50582,69,1318,371,72288,Edward H. Bastian,30112,2023,70,yes,no,no,yes,15,yes,no,no,yes,yes,yes,103000,30796,58048,15,4609,250,73644,Edward H. Bastian,27753,2024
Dentsply Sirona,Health Care,Medical Products and Equipment,Public,North Carolina,757,no,no,no,no,-89,no,yes,,no,no,15000,8459,3922,-7,-950,-331,7643,Simon D. Campion,8459,2023,751,no,no,no,no,6,yes,no,,no,no,no,15000,6882,3965,1,-132,0,7370,Simon D. Campion,6882,2024
Designer Brands,Retailing,Specialty Retailers: Apparel,Public,Ohio,849,yes,no,no,yes,-46,no,yes,,no,no,14000,556,3315,4,163,5,2010,Douglas M. Howe,556,2023,879,yes,no,no,no,-30,no,yes,,no,no,no,14000,626,3075,-7,29,-82,2076,Douglas M. Howe,626,2024
Devon Energy,Energy,"Mining, Crude-Oil Production",Public,Oklahoma,216,yes,no,no,yes,93,yes,no,no,no,no,1800,33099,19169,57,6015,114,23721,Richard E. Muncrief,33099,2023,271,yes,no,no,yes,-55,no,yes,no,no,no,no,1900,31864,15258,-20,3747,-38,24490,Richard E. Muncrief,31864,2024
DexCom,Health Care,Medical Products and Equipment,Public,California,905,yes,no,no,yes,24,yes,no,,no,no,7550,44894,2910,19,341,121,5392,Kevin R. Sayer,44894,2023,802,yes,no,no,yes,103,yes,no,,no,no,no,9550,53471,3622,24,542,59,6264,Kevin R. Sayer,53471,2024
Diamondback Energy,Energy,"Mining, Crude-Oil Production",Public,Texas,400,yes,no,no,yes,79,yes,no,no,no,no,972,24816,9643,42,4386,101,26209,Travis D. Stice,24816,2023,449,yes,no,no,yes,-49,no,yes,no,no,no,no,1023,35363,8412,-13,3143,-28,29001,Travis D. Stice,35363,2024
Dick's Sporting Goods,Retailing,Specialty Retailers: Other,Public,Pennsylvania,334,yes,no,yes,yes,-27,no,yes,no,no,no,35800,12148,12368,1,1043,-31,8992,Lauren R. Hobart,12148,2023,313,yes,no,yes,yes,21,yes,no,no,no,no,no,37200,18539,12984,5,1046,0,9312,Lauren R. Hobart,18539,2024
Diebold Nixdorf,Technology,"Computers, Office Equipment",Public,Ohio,829,no,no,no,no,-125,no,yes,,no,no,21000,96,3461,-11,-581,0,3065,Octavio Marquez,96,2023,779,no,no,no,no,50,yes,no,,no,no,no,21000,1294,3760,9,0,0,4162,Octavio Marquez,1294,2024
Digital Realty Trust,Financials,Real estate,Public,Texas,673,yes,no,no,yes,-17,no,yes,,no,no,3412,28637,4692,6,378,-78,41485,Andrew P. Power,28637,2023,605,yes,no,no,yes,68,yes,no,,no,no,no,3664,44983,5477,17,949,151,44113,Andrew P. Power,44983,2024
Dillard's,Retailing,General Merchandisers,Public,Arkansas,511,yes,no,no,no,-23,no,yes,,no,no,24750,5249,6996,6,892,3,3329,William T. Dillard II,5249,2023,515,yes,no,no,yes,-4,no,yes,,no,no,no,24900,7655,6874,-2,739,-17,3449,William T. Dillard II,7655,2024
Discover Financial Services,Financials,Commercial Banks,Public,Illinois,273,yes,no,no,yes,8,yes,no,no,no,yes,20200,25635,15202,15,4392,-19,131628,John B. Owen,25635,2023,194,yes,no,no,yes,79,yes,no,no,no,no,yes,21100,32846,20606,36,2940,-33,151522,J. Michael  Shepherd,32847,2024
DISH Network,Telecommunications,Telecommunications,Public,Colorado,249,yes,no,no,no,-44,no,yes,no,no,no,14200,4956,16679,-7,2303,-4,52607,W. Erik Carlson,4956,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
DocuSign,Technology,Computer Software,Public,California,983,no,no,no,no,17,yes,no,,no,no,7336,11771,2516,19,-98,0,3013,Allan C. Thygesen,11771,2023,942,yes,no,no,no,41,yes,no,,no,no,no,6840,12232,2762,10,74,0,2971,Allan C. Thygesen,12233,2024
Dollar General,Retailing,Specialty Retailers: Other,Public,Tennessee,108,yes,no,no,yes,-2,no,yes,no,yes,no,170000,46114,37845,11,2416,1,29083,Jeffery C. Owen,35342,2023,111,yes,no,no,yes,-3,no,yes,no,yes,no,no,185800,34282,38692,2,1661,-31,30796,Todd J. Vasos,27918,2024
Dollar Tree,Retailing,Specialty Retailers: Other,Public,Virginia,144,yes,no,no,yes,-7,no,yes,no,no,no,136287,31757,28332,8,1615,22,23022,Richard W. Dreiling,31757,2023,143,no,no,no,yes,1,yes,no,no,no,no,no,138860,29024,30604,8,-998,-162,22024,Richard W. Dreiling,29024,2024
Dominion Energy,Energy,Utilities: Gas and Electric,Public,Virginia,242,yes,no,no,yes,15,yes,no,no,no,no,17200,46699,17174,21,994,-70,104243,Robert M. Blue,46699,2023,230,yes,no,no,yes,12,yes,no,no,no,no,no,17700,41201,17867,4,1994,101,109032,Robert M. Blue,41201,2024
Domino's Pizza,"Hotels, Restaurants & Leisure",Food Services,Public,Michigan,692,yes,no,no,no,-30,no,yes,,no,no,8750,11684,4537,4,452,-11,1602,Russell J. Weiner,11684,2023,690,yes,no,no,yes,2,yes,no,,no,no,no,8850,17306,4479,-1,519,15,1675,Russell J. Weiner,17306,2024
Domtar,Materials,Forest and Paper Products,Private,South Carolina,668,yes,no,no,yes,12,yes,no,,no,no,6300,0,4731,14,339,0,4724,Steven M. Henry,1856,2023,502,yes,no,no,yes,166,yes,no,,no,no,no,13000,0,7059,49,288,-15,7531,Steven M. Henry,1856,2024
Donaldson,Industrials,Industrial Machinery,Public,Minnesota,851,yes,no,no,yes,10,yes,no,,no,no,14000,7924,3307,16,333,16,2600,Tod E. Carpenter,7924,2023,831,yes,no,no,no,20,yes,no,,no,no,no,13000,8989,3431,4,359,8,2770,Tod E. Carpenter,8989,2024
DoorDash,Technology,Internet Services and Retailing,Public,California,531,no,yes,no,yes,90,yes,no,,no,no,16800,24920,6583,35,-1365,0,9789,Tony Xu,24920,2023,443,no,yes,no,yes,88,yes,no,yes,no,no,no,19300,55640,8635,31,-558,0,10839,Tony Xu,55640,2024
Dover,Industrials,Industrial Machinery,Public,Illinois,445,yes,no,no,no,-12,no,yes,no,no,no,25000,21237,8508,8,1065,-5,10897,Richard J. Tobin,21237,2023,448,yes,no,no,no,-3,no,yes,no,no,no,no,25000,24342,8438,-1,1057,-1,11348,Richard J. Tobin,24342,2024
Dow,Chemicals,Chemicals,Public,Michigan,75,yes,no,no,yes,-11,no,yes,no,yes,yes,37800,38812,56902,4,4582,-27,60603,James R. Fitterling,37120,2023,99,yes,no,no,no,-24,no,yes,no,yes,yes,yes,35900,40740,44622,-22,589,-87,57967,James R. Fitterling,37463,2024
Dream Finders Homes,Engineering & Construction,Homebuilders,Public,Florida,843,yes,yes,no,no,0,,,,no,no,1170,1232,3342,74,262,117,2371,Patrick O. Zalupski,1232,2023,784,yes,yes,no,yes,59,yes,no,,no,no,no,1236,4078,3749,12,296,13,2562,Patrick O. Zalupski,4079,2024
DTE Energy,Energy,Utilities: Gas and Electric,Public,Michigan,212,yes,no,no,no,27,yes,no,no,no,no,10250,22577,19228,25,1083,19,42683,Gerardo Norcia,22577,2023,318,yes,no,no,no,-106,no,yes,no,no,yes,no,9950,23205,12745,-34,1397,29,44755,Gerardo Norcia,23205,2024
Duke Energy,Energy,Utilities: Gas and Electric,Public,North Carolina,141,yes,no,yes,yes,4,yes,no,no,no,no,27859,74344,28784,17,2550,-35,178086,Lynn J. Good,74344,2023,148,yes,no,yes,no,-7,no,yes,no,no,yes,no,27037,74608,28932,0,2841,11,176893,Lynn J. Good,74608,2024
DuPont,Chemicals,Chemicals,Public,Delaware,250,yes,no,no,no,-37,no,yes,no,no,no,23000,32895,16549,-4,5868,-9,41355,Edward D. Breen,32895,2023,327,yes,no,no,yes,-77,no,yes,no,no,no,no,24000,32016,12528,-24,423,-93,38552,Edward D. Breen,32016,2024
DXC Technology,Technology,Information Technology Services,Public,Virginia,255,yes,no,no,no,-48,no,yes,no,no,no,130000,5820,16265,-8,718,0,20139,Michael J. Salvino,5820,2023,294,no,no,no,no,-39,no,yes,no,no,no,no,130000,3879,14430,-11,-568,-179,15845,Raul J. Fernandez,3879,2024
Dycom Industries,Engineering & Construction,Engineering & Construction,Public,Florida,771,yes,no,no,yes,41,yes,no,,no,no,15410,2749,3809,22,142,193,2313,Steven E. Nielsen,2749,2023,725,yes,no,no,yes,46,yes,no,,no,no,no,15611,4176,4176,10,219,54,2517,Steven E. Nielsen,4176,2024
E.W. Scripps,Media,Entertainment,Public,Ohio,994,yes,no,no,yes,-32,no,yes,,no,no,5700,793,2453,7,196,60,6431,Adam P. Symson,793,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
East West Bancorp,Financials,Commercial Banks,Public,California,957,yes,no,no,yes,0,,,,no,no,3155,7826,2620,38,1128,29,64112,Dominic Ng,7826,2023,748,yes,no,no,yes,209,yes,no,,no,no,no,3206,11078,3989,52,1161,3,69613,Dominic Ng,11078,2024
Eastman Chemical,Chemicals,Chemicals,Public,Tennessee,377,yes,no,no,yes,-28,no,yes,no,no,no,14500,10048,10580,1,793,-8,14667,Mark J. Costa,10048,2023,426,yes,no,no,no,-49,no,yes,no,no,no,no,14000,11786,9210,-13,894,13,14633,Mark J. Costa,11786,2024
Ebay,Technology,Internet Services and Retailing,Public,California,393,no,no,no,yes,-92,no,yes,no,no,no,11600,23821,9795,-21,-1269,-109,20850,Jamie Iannone,23821,2023,390,yes,no,no,yes,3,yes,no,no,no,no,no,12300,27340,10112,3,2767,0,21620,Jamie Iannone,27340,2024
Ecolab,Chemicals,Chemicals,Public,Minnesota,293,yes,no,no,no,0,,,no,no,no,47000,47121,14188,11,1092,-3,21464,Christophe Beck,47121,2023,269,yes,no,no,yes,24,yes,no,no,no,yes,no,48000,66017,15320,8,1372,26,21847,Christophe Beck,66017,2024
Edison International,Energy,Utilities: Gas and Electric,Public,California,241,yes,no,no,yes,2,yes,no,no,no,no,13110,27010,17220,16,612,-19,78041,Pedro J. Pizarro,27010,2023,250,yes,no,no,yes,-9,no,yes,no,no,no,no,14346,27208,16338,-5,1197,96,81758,Pedro J. Pizarro,27208,2024
Edwards Lifesciences,Health Care,Medical Products and Equipment,Public,California,617,yes,no,no,yes,-35,no,yes,,no,no,17300,50143,5382,3,1522,1,8293,Bernard J. Zovighian,50143,2023,569,yes,no,no,yes,48,yes,no,,no,no,no,19800,57520,6005,12,1402,-8,9363,Bernard J. Zovighian,57520,2024
Elanco Animal Health,Health Care,Pharmaceuticals,Public,Indiana,705,no,no,no,no,-77,no,yes,,no,no,9740,4621,4411,-7,-78,0,15491,Jeffrey N. Simmons,4621,2023,693,no,no,no,yes,12,yes,no,,no,no,no,9800,8026,4417,0,-1231,0,14362,Jeffrey N. Simmons,8026,2024
Electronic Arts,Media,Entertainment,Public,California,512,yes,no,no,yes,40,yes,no,,no,no,12900,33031,6991,24,789,-6,13800,Andrew Wilson,33031,2023,482,yes,no,no,yes,30,yes,no,yes,no,yes,no,13400,35469,7426,6,802,2,13459,Andrew Wilson,35469,2024
Element Solutions,Chemicals,Chemicals,Public,Florida,977,yes,no,no,no,-36,no,yes,,no,no,5300,4661,2549,6,187,-8,4904,Benjamin Gliklich,4661,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
Elevance Health,Health Care,Health Care: Insurance and Managed Care,Public,Indiana,22,yes,no,yes,yes,-2,no,yes,no,yes,yes,102300,109098,156595,13,6025,-1,102772,Gail K. Boudreaux,103634,2023,20,yes,no,yes,yes,2,yes,no,no,yes,yes,yes,104900,120620,171340,9,5987,-1,108928,Gail K. Boudreaux,123335,2024
Eli Lilly,Health Care,Pharmaceuticals,Public,Indiana,142,yes,no,no,yes,-20,no,yes,no,no,no,39000,326351,28541,1,6245,12,49490,David A. Ricks,326351,2023,127,yes,no,no,yes,15,yes,no,no,no,yes,no,43000,739658,34124,20,5240,-16,64006,David A. Ricks,903322,2024
EMCOR Group,Engineering & Construction,Engineering & Construction,Public,Connecticut,369,yes,no,no,yes,-12,no,yes,no,no,no,35500,7754,11076,12,406,6,5525,Anthony J. Guzzi,7754,2023,324,yes,no,no,yes,45,yes,no,no,no,yes,no,38300,16482,12583,14,633,56,6610,Anthony J. Guzzi,16482,2024
Emerson Electric,Industrials,Industrial Machinery,Public,Missouri,206,yes,no,no,no,-7,no,yes,no,no,no,85500,49792,19629,8,3231,40,35672,S. L. Karsanbhai,49792,2023,224,yes,no,no,no,-18,no,yes,no,no,no,no,67000,64842,18370,-6,13219,309,42746,S.L. Karsanbhai,64842,2024
Encompass Health,Health Care,Health Care: Medical Facilities,Public,Alabama,657,yes,no,no,no,-65,no,yes,,no,no,27679,5395,4891,-4,271,-34,5637,Mark J. Tarr,5395,2023,660,yes,no,no,yes,-3,no,yes,,no,yes,no,30059,8270,4801,-2,352,30,6102,Mark J. Tarr,8270,2024
Encore Wire,Industrials,"Electronics, Electrical Equip.",Private,Texas,890,yes,no,no,yes,20,yes,no,,no,no,1672,3329,3018,16,718,33,2019,Daniel L. Jones,3329,2023,981,yes,no,no,no,-91,no,yes,,no,no,no,1629,4148,2568,-15,372,-48,1968,Daniel L. Jones,4148,2024
Endeavor Group Holdings,Media,Entertainment,Public,California,626,yes,no,no,yes,-30,no,yes,,no,no,11000,11329,5268,4,129,0,12504,Ariel Emanuel,11329,2023,573,yes,yes,no,no,53,yes,no,,no,no,no,10000,17817,5960,13,356,176,21545,Ariel Emanuel,17817,2024
Energizer Holdings,Household Products,Household and Personal Products,Public,Missouri,884,no,no,no,no,-58,no,yes,,no,no,5500,2479,3050,1,-232,-244,4572,Mark S. LaVigne,2479,2023,896,yes,no,no,no,-12,no,yes,,no,no,no,5080,2113,2960,-3,140,0,4510,Mark S. LaVigne,2113,2024
Energy Transfer,Energy,Pipelines,Public,Texas,43,yes,no,no,yes,11,yes,no,no,yes,no,12565,38590,89876,33,4756,-13,105643,Thomas E. Long/Marshall S. McCrea III,40742,2023,51,yes,no,no,yes,-8,no,yes,no,yes,no,no,13786,52975,78586,-13,3935,-17,113698,Thomas E. Long/Marshall S. McCrea III,55235,2024
EnerSys,Industrials,"Electronics, Electrical Equip.",Public,Pennsylvania,841,yes,no,no,no,-3,no,yes,,no,no,11400,3549,3357,13,144,0,3737,David M. Shaffer,3549,2023,792,yes,no,no,no,49,yes,no,,no,no,no,11350,3818,3709,10,176,22,3617,David M. Shaffer,3818,2024
EnLink Midstream,Energy,Pipelines,Public,Texas,406,yes,no,no,yes,79,yes,no,no,no,no,1132,5102,9542,43,361,1513,8651,Jesse Arenivas,5102,2023,511,yes,no,no,no,-105,no,yes,,no,no,no,1072,6181,6900,-28,206,-43,8329,Jesse Arenivas,6181,2024
Ensign Group,Health Care,Health Care: Medical Facilities,Public,California,889,yes,no,no,yes,15,yes,no,,no,no,29900,5338,3026,15,225,15,3452,Barry R. Port,5338,2023,787,yes,no,no,yes,102,yes,no,,no,no,no,35300,7080,3729,23,209,-7,4178,Barry R. Port,7080,2024
Entegris,Technology,Semiconductors and Other Electronic Components,Public,Massachusetts,855,yes,no,no,yes,104,yes,no,,no,no,10000,12276,3282,43,209,-49,10139,Bertrand Loy,12276,2023,812,yes,no,no,no,43,yes,no,,no,no,no,8000,21184,3524,7,181,-14,8813,Bertrand Loy,21184,2024
Entergy,Energy,Utilities: Gas and Electric,Public,Louisiana,302,yes,no,no,no,19,yes,no,no,no,no,11707,22851,13764,17,1103,-1,58595,Andrew S. Marsh,22851,2023,339,yes,no,no,yes,-37,no,yes,no,no,no,no,12177,22536,12147,-12,2356,114,59703,Andrew S. Marsh,22536,2024
Enterprise Products Partners,Energy,Pipelines,Public,Texas,72,yes,no,no,yes,17,yes,no,no,yes,no,7300,56224,58186,43,5490,18,68108,A. James Teague/W. Randall Fowler,58016,2023,90,yes,no,no,yes,-18,no,yes,no,yes,no,no,7500,63269,49715,-15,5532,1,70982,A. James Teague/W. Randall Fowler,64278,2024
Envista Holdings,Health Care,Medical Products and Equipment,Public,California,970,yes,no,no,yes,-118,no,yes,,no,no,12700,6673,2581,-12,243,-29,6587,Amir Aghdaei,6673,2023,984,no,no,no,yes,-14,no,yes,,no,no,no,12800,3674,2566,-1,-100,-141,6605,Paul Keel,3674,2024
EOG Resources,Energy,"Mining, Crude-Oil Production",Public,Texas,156,yes,no,no,yes,37,yes,no,no,no,no,2850,67371,25702,38,7759,66,41371,Ezra Y. Yacob,67371,2023,169,yes,no,no,yes,-13,no,yes,no,no,no,no,3050,73536,24186,-6,7594,-2,43857,Ezra Y. Yacob,73536,2024
EPAM Systems,Technology,Information Technology Services,Public,Pennsylvania,663,yes,yes,no,yes,58,yes,no,,no,no,59300,17246,4825,28,419,-13,4009,Arkadiy Dobkin,17246,2023,669,yes,yes,no,no,-6,no,yes,,no,no,no,53150,15970,4690,-3,417,-1,4352,Arkadiy Dobkin,15970,2024
EQT,Energy,Energy,Public,Pennsylvania,487,yes,no,no,yes,334,yes,no,yes,no,no,744,11499,7498,145,1771,0,22670,Toby Z. Rice,11499,2023,510,yes,no,no,yes,-23,no,yes,,no,no,no,881,16338,6909,-8,1735,-2,25285,Toby Z. Rice,16338,2024
Equifax,Business Services,Financial Data Services,Public,Georgia,640,yes,no,no,yes,-23,no,yes,,no,no,14000,24995,5122,4,696,-6,11548,Mark W. Begor,24995,2023,625,yes,no,no,yes,15,yes,no,,no,no,no,14900,33234,5265,3,545,-22,12280,Mark W. Begor,33234,2024
Equinix,Financials,Real estate,Public,California,497,yes,no,no,yes,-10,no,yes,no,no,no,12097,66873,7263,10,704,41,30311,Charles J. Meyers,66873,2023,456,yes,no,no,yes,41,yes,no,no,no,no,no,13151,78094,8188,13,969,38,32651,Charles J. Meyers,78094,2024
Equitable Holdings,Financials,"Insurance: Life, Health (stock)",Public,New York,298,yes,no,no,yes,38,yes,no,no,no,no,10250,9186,14017,27,1785,0,253468,Mark Pearson,9186,2023,381,yes,no,no,yes,-83,no,yes,no,no,no,no,10700,12532,10528,-25,1302,-27,276814,Mark Pearson,12532,2024
Equity Residential,Financials,Real estate,Public,Illinois,936,yes,no,no,no,-8,no,yes,,no,no,2400,22716,2735,11,777,-42,20218,Mark J. Parrell,22716,2023,915,yes,no,no,no,21,yes,no,,no,no,no,2400,23954,2874,5,835,8,20035,Mark J. Parrell,23954,2024
Erie Insurance Group,Financials,Insurance: Property and Casualty (Mutual),Private,Pennsylvania,414,no,no,no,yes,-46,no,yes,no,no,no,5997,0,9296,-3,-577,-151,26598,Timothy G. NeCastro,0,2023,376,no,no,no,yes,38,yes,no,no,no,no,no,6510,0,10812,16,-527,0,27515,Timothy G. NeCastro,0,2024
ESAB,Industrials,Industrial Machinery,Public,Maryland,967,yes,no,no,,0,,,,no,no,9000,3557,2594,0,224,0,3754,Shyam P. Kambeyanda,3557,2023,939,yes,no,no,no,28,yes,no,,no,no,no,9000,6672,2775,7,205,-8,3829,Shyam P. Kambeyanda,6672,2024
Estée Lauder,Household Products,Household and Personal Products,Public,New York,230,yes,no,no,yes,-2,no,yes,no,no,no,53865,88041,17737,9,2390,-17,20910,Fabrizio Freda,88041,2023,259,yes,no,no,no,-29,no,yes,no,no,yes,no,53010,55259,15910,-10,1006,-58,23415,Fabrizio Freda,55259,2024
Etsy,Retailing,Internet Services and Retailing,Public,New York,972,no,no,no,yes,-19,no,yes,,no,no,2790,13877,2566,10,-694,-241,2635,Joshua G. Silverman,13877,2023,946,yes,no,no,no,26,yes,no,,no,no,no,2420,8143,2748,7,308,0,2685,Joshua G. Silverman,8143,2024
Euronet Worldwide,Business Services,Financial Data Services,Public,Kansas,839,yes,no,no,yes,-8,no,yes,,no,no,9500,5576,3359,12,231,227,5404,Michael J. Brown,5576,2023,796,yes,yes,no,yes,43,yes,no,,no,no,no,10000,5033,3688,10,280,21,5894,Michael J. Brown,5033,2024
Evercore,Financials,Securities,Public,New York,925,yes,no,no,yes,-142,no,yes,,no,no,2109,4454,2779,-16,477,-36,3621,John S. Weinberg,4454,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
Evergy,Energy,Utilities: Gas and Electric,Public,Missouri,584,yes,no,no,no,-26,no,yes,,no,no,4512,14032,5859,5,753,-14,29490,David A. Campbell,14032,2023,597,yes,no,no,yes,-13,no,yes,,no,no,no,4658,12264,5508,-6,731,-3,30976,David A. Campbell,12264,2024
Eversource Energy,Energy,Utilities: Gas and Electric,Public,Massachusetts,335,yes,no,no,yes,23,yes,no,no,no,no,9626,27287,12289,25,1405,15,53231,Joseph R. Nolan Jr.,27287,2023,348,no,no,no,yes,-13,no,yes,no,no,no,no,10171,20963,11911,-3,-442,-132,55612,Joseph R. Nolan Jr.,20963,2024
Excelerate Energy,Energy,Pipelines,Public,Texas,991,yes,no,no,no,0,,,,no,no,890,2397,2473,178,13,-68,2867,Steven M. Kobos,2397,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
Exelon,Energy,Utilities: Gas and Electric,Public,Illinois,218,yes,no,no,no,-119,no,yes,no,yes,no,19063,41651,19078,-48,2170,27,95349,Calvin G. Butler Jr.,41651,2023,187,yes,no,no,yes,31,yes,no,no,no,yes,no,19962,37560,21727,14,2328,7,101546,Calvin G. Butler Jr.,37560,2024
eXp World Holdings,Financials,Real estate,Public,Washington,685,yes,yes,no,yes,32,yes,no,,no,no,2016,1940,4598,22,15,-81,382,Glenn Sanford,1940,2023,708,no,yes,no,yes,-23,no,yes,,no,no,no,2114,1570,4281,-7,-9,-158,386,Glenn Sanford,1570,2024
Expedia Group,Retailing,Internet Services and Retailing,Public,Washington,353,yes,no,no,yes,51,yes,no,no,no,no,16500,14879,11667,36,352,2833,21561,Peter M. Kern,14879,2023,315,yes,no,yes,yes,38,yes,no,no,no,no,no,17100,18774,12839,10,797,126,21642,Ariane  Gorin,18774,2024
Expeditors Intl. of Washington,Transportation,Transportation and Logistics,Public,Washington,245,yes,no,no,yes,-20,no,yes,no,no,no,20302,17009,17071,3,1357,-4,5590,Jeffrey S. Musser,17009,2023,420,yes,no,no,no,-175,no,yes,no,no,no,no,18452,17249,9300,-46,753,-44,4524,Jeffrey S. Musser,17249,2024
Exxon Mobil,Energy,Petroleum Refining,Public,Texas,3,yes,no,no,no,3,yes,no,no,yes,no,62000,446424,413680,45,55740,142,369067,Darren W. Woods,409878,2023,7,yes,no,no,no,-4,no,yes,no,yes,no,no,61500,461222,344582,-17,36010,-35,376317,Darren W. Woods,516824,2024
F5,Technology,Network and Other Communications Equipment,Public,Washington,945,yes,no,no,yes,-37,no,yes,,no,no,7054,8023,2696,4,322,-3,5276,Fran?ois Locoh-Donou,8023,2023,929,yes,no,no,no,16,yes,no,,no,no,no,6492,11149,2813,4,395,23,5248,Fran?ois Locoh-Donou,11149,2024
Fannie Mae,Financials,Diversified Financials,Public,District Of Columbia,28,yes,no,yes,yes,5,yes,no,no,yes,no,8000,475,121596,20,12923,-42,4305288,Priscilla Almodovar,2541,2023,27,yes,no,yes,yes,1,yes,no,no,yes,no,no,8100,1818,141240,16,17408,35,4325437,Priscilla Almodovar,8585,2024
Farmers Insurance Exchange,Financials,Insurance: Property and Casualty (Mutual),Private,California,295,no,no,no,no,-31,no,yes,no,no,no,11344,0,14092,0,-314,0,22979,Raul Vargas,0,2023,273,no,no,no,no,22,yes,no,no,no,no,no,9685,0,15194,8,-653,0,23678,Raul Vargas,0,2024
Fastenal,Wholesalers,Wholesalers: Diversified,Public,Minnesota,514,yes,no,no,yes,11,yes,no,,no,no,19854,30798,6981,16,1087,18,4549,Daniel L. Florness,30798,2023,488,yes,no,no,yes,26,yes,no,yes,no,yes,no,20721,44157,7347,5,1155,6,4463,Daniel L. Florness,44157,2024
Federated Mutual Insurance,Financials,Insurance: Property and Casualty (Mutual),Private,Minnesota,912,yes,no,no,yes,-5,no,yes,,no,no,2786,0,2858,9,408,28,11218,Michael G. Kerr,0,2023,872,yes,no,no,yes,40,yes,no,,no,no,no,2922,0,3099,8,423,4,12190,Nicholas R. Lower,0,2024
